"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ranking_metric","GeneSymbol"
"FGFR4",389.53768299411,0.79424626468982,0.191153802837994,4.15501158176255,3.25271065636502e-05,0.00253380063509848,2.59622755933529,"FGFR4"
"MARCHF4",535.693494620715,0.793488683627235,0.231960904375982,3.42078629914756,0.000624403754287457,0.028937293819478,1.5385420860097,"MARCHF4"
"BHLHE40",309.19599909689,0.79287975581171,0.229431960696683,3.45583829473491,0.000548584318702064,0.0261972863672353,1.58174369252649,"BHLHE40"
"PANX2",339.058243051862,0.792435248005133,0.229577068531912,3.45171777422092,0.000557030038630499,0.0264492438592636,1.57758673922212,"PANX2"
"ABCB4",527.42182783684,0.776678832290269,0.20964130979448,3.70479860601749,0.000211558753468429,0.0119776060243324,1.92162997613012,"ABCB4"
"CPLX2",1185.20959370448,0.775816098930767,0.210059867933336,3.69330946726568,0.000221354374294074,0.0124679270259434,1.90420574828827,"CPLX2"
"LDOC1",648.354976696364,0.773718944926965,0.231309720967672,3.34494781148908,0.000822980545261639,0.0363750777419767,1.43919606981702,"LDOC1"
"NELL2",874.832201923942,0.766963699336509,0.194444467169872,3.9443842784504,8.00052762746691e-05,0.00526190390396903,2.27885708752304,"NELL2"
"DYNC1I1",978.017347874431,0.759229870546687,0.188652869970155,4.02448089269354,5.71011297652381e-05,0.00404054306714902,2.39356025983601,"DYNC1I1"
"GSAP",386.243516425809,0.754566631451435,0.204380546931051,3.691968941183,0.000222524644727841,0.0125017873931879,1.90302789103155,"GSAP"
"ABCB1",5190.78267551495,0.751098092933756,0.186964838690845,4.01732271261834,5.88630890583916e-05,0.00413113571036961,2.38393053794606,"ABCB1"
"JPH4",2592.20277833704,0.743325375325098,0.204490923999182,3.63500423778257,0.000277976066294429,0.0153040106473426,1.81519474083227,"JPH4"
"IFITM2",1028.66171974485,0.742507072341801,0.215638487587578,3.44329567809756,0.000574670646804548,0.0270316704461574,1.5681271158576,"IFITM2"
"ZNF385A",1388.72414965969,0.735270655730154,0.162806451046258,4.51622556111883,6.2951609727799e-06,0.000601242613430679,3.2209502461125,"ZNF385A"
"LDHA",18830.8114579298,0.735026840555832,0.202928917806996,3.62209018063611,0.000292232203016956,0.0159688179195858,1.79672723101252,"LDHA"
"SOD2",4283.13152653858,0.710390752338158,0.193753368603335,3.6664691688149,0.000245922553477792,0.0136764069170801,1.86402798602597,"SOD2"
"RTN1",7550.17052304745,0.70935336886195,0.164579179790483,4.31010392544786,1.63177842438562e-05,0.00140020611908121,2.85380802875706,"RTN1"
"ADAM23",1213.2946052606,0.703040355984536,0.216456788045997,3.24794783444325,0.00116240579739676,0.0479526651582052,1.31918725019642,"ADAM23"
"NSG2",3475.1564146477,0.696228382851016,0.170468867314183,4.08419668541488,4.42295568574806e-05,0.00326037139425596,2.48673292591704,"NSG2"
"SLC17A5",654.955237924769,0.688021470733294,0.196391786276842,3.50331082463617,0.000459512921726082,0.0228373763609883,1.64135379085499,"SLC17A5"
"ETS2",1460.40751571522,0.683521366927636,0.163735470311538,4.17454669795803,2.98579971918958e-05,0.00236783618886056,2.62564834617832,"ETS2"
"GABARAPL1",531.273972937305,0.683234206313445,0.209434729811857,3.26227749775416,0.00110520896408454,0.0459812979432672,1.33741877378786,"GABARAPL1"
"SOCS3",662.831253780594,0.678727336888045,0.181258225740233,3.74453260874765,0.000180729904203953,0.0105788752976455,1.97556050224323,"SOCS3"
"AK4",702.535311799088,0.677787023088061,0.187683785141841,3.61132434842908,0.000304637381212844,0.0165233811187717,1.78190107983778,"AK4"
"MAPK10",517.600528984789,0.663890433146847,0.177770050714412,3.73454600749024,0.000188054112620456,0.0108424795063873,1.96487139004813,"MAPK10"
"ARHGAP36",10609.0060483005,0.644038688231084,0.160047162794167,4.0240556407699,5.72043926746186e-05,0.00404054306714902,2.39356025983601,"ARHGAP36"
"PHOX2B",5434.80189938638,0.641561462064619,0.148785850009493,4.31197900891574,1.61799797884809e-05,0.00139382594515121,2.85579145563537,"PHOX2B"
"DCN",1689.56457111035,0.621631592523197,0.167055903227988,3.72109922793228,0.000198357471961422,0.0113177106144845,1.94624141484841,"DCN"
"NEIL2",2096.82084324999,0.610593696695079,0.157933350987814,3.86614792174069,0.000110567891094213,0.00695944087010479,2.15742565073174,"NEIL2"
"MYC",1061.1970890388,0.588931577019557,0.163558085470285,3.60074878185435,0.000317302052247282,0.0170419906643424,1.76847967693761,"MYC"
"LHFPL6",563.970822636042,0.582950885025069,0.180158976879327,3.23575819047606,0.00121320110902045,0.0497208745556943,1.30346124102452,"LHFPL6"
"ENO2",5845.09567679352,0.580919182457216,0.164995370993059,3.52082109310602,0.000430212774149761,0.0215764475108397,1.66602005888587,"ENO2"
"DRAM1",846.859798125099,0.577704171333024,0.174316947661434,3.31410215176018,0.000919379124386213,0.0397559079239999,1.40059832390966,"DRAM1"
"OLFM2",2434.44969600177,0.573315830831035,0.165893600891251,3.4559249286949,0.000548408034591326,0.0261972863672353,1.58174369252649,"OLFM2"
"BTN3A2",1124.67945289437,0.564440309756774,0.162200381596598,3.47989507916554,0.000501610182404864,0.0245170745103328,1.61053135306956,"BTN3A2"
"OGDHL",1972.54420611473,0.556303575407049,0.156240235348376,3.56056539576144,0.000370057132953555,0.0193088955809756,1.71424256603443,"OGDHL"
"DYRK3",1423.01303101991,0.552583056520854,0.166985594442623,3.30916602935305,0.000935743290565807,0.0403840331313538,1.39379031047349,"DYRK3"
"MAPKAPK3",1299.96989013292,0.545686854738982,0.162594186065737,3.35612771860341,0.000790420573161924,0.0351481148393684,1.45409796329893,"MAPKAPK3"
"PLS3",3339.52102404204,0.515403674367835,0.158166056250324,3.25862379442606,0.00111954019791002,0.0464017726933761,1.33346542771569,"PLS3"
"SPSB4",895.294243107542,-0.53352804397521,0.154673912885983,-3.44937316203087,0.000561889630327697,0.026544149482599,-1.5760311855962,"SPSB4"
"PLAT",6217.93149246898,-0.557415222360089,0.170788779536682,-3.26376957474754,0.00109940539767503,0.0458266382746248,-1.33888200032294,"PLAT"
"SERPINE2",1119.91754991165,-0.559151378970472,0.168600786386417,-3.31642212918835,0.000911779931113782,0.0395050685340758,-1.40334718044533,"SERPINE2"
"FXYD6",1656.63524414954,-0.582637624869541,0.162895850498195,-3.57674933454489,0.000347893481722557,0.0182827179736828,-1.73795924004493,"FXYD6"
"ALDH1A3",1984.96186653017,-0.591959857061252,0.149819850386235,-3.95114436127912,7.77783878686542e-05,0.00517744801912341,-2.28588425267037,"ALDH1A3"
"TCF7",1432.27958702412,-0.602685364965552,0.167101128903869,-3.60671031320362,0.000310103530178509,0.0167784341069737,-1.77524857333055,"TCF7"
"TMEM198",952.453905192968,-0.615325282184393,0.179085396006666,-3.43593221951772,0.00059051869063357,0.0275998384620162,-1.55909345979204,"TMEM198"
"TDRKH",1927.81815349508,-0.619648179042793,0.18142670556713,-3.41541878912373,0.000636840163138665,0.0294515112919306,-1.53089241466616,"TDRKH"
"SH3TC1",1632.2579272131,-0.632289459205866,0.182547279929481,-3.46370244163662,0.00053279551982159,0.0256997825071936,-1.5900705520121,"SH3TC1"
"RGS16",1559.58025267631,-0.656254876835313,0.17531042332768,-3.74338766844845,0.000181555787645666,0.0105788752976455,-1.97556050224323,"RGS16"
"MAPK8IP2",3487.67114430594,-0.662147983980383,0.154296756725947,-4.29139275530238,1.77555950447261e-05,0.00148303101272813,-2.82884976703239,"MAPK8IP2"
"DOK4",13913.0061454225,-0.66480524279543,0.157043519402864,-4.23325486669721,2.30333221636924e-05,0.00190933203007484,-2.71911854185745,"DOK4"
"SSTR2",872.167447295873,-0.685389759438158,0.19567563876148,-3.50268313304765,0.000460597036589818,0.0228395826247597,-1.64131183674055,"SSTR2"
"ADAMTSL2",690.657268418099,-0.686562571321711,0.199865915637159,-3.43511583319746,0.00059230059730393,0.0276243465413491,-1.55870798649571,"ADAMTSL2"
"MAPK11",2892.80312629487,-0.691854888723832,0.20575067651844,-3.36258864578667,0.000772153302836115,0.0347027640647952,-1.45963593240565,"MAPK11"
"TACC2",897.848246647207,-0.720637217864766,0.162566468123019,-4.43287737123894,9.29837573109545e-06,0.000854633555167254,-3.06822005963737,"TACC2"
"MMP15",3261.80290699374,-0.727701041981083,0.183059544104145,-3.97521498014375,7.03157097638724e-05,0.00479591948915047,-2.31912811617185,"MMP15"
"ATCAY",2292.07114773001,-0.734158889496986,0.210035760374774,-3.49539948905368,0.000473352695593578,0.0232620551769667,-1.63335191847314,"ATCAY"
"FAM163B",1032.88864001228,-0.750271515246054,0.19291407404601,-3.88914867386563,0.000100596480528466,0.00643638912318847,-2.19135770774501,"FAM163B"
"PPM1E",811.031192752846,-0.756425672375206,0.226439472844842,-3.34052037337816,0.000836215451374405,0.0368858329725734,-1.43314040466033,"PPM1E"
"SHD",6985.4648976925,-0.765119340273231,0.230300271174811,-3.32226851653363,0.000892887234398263,0.0389167735675132,-1.40986317251233,"SHD"
"GBP2",712.375215439503,-0.765966388161997,0.165632492715681,-4.62449351333998,3.75514836011978e-06,0.000380135225929729,-3.42006188383533,"GBP2"
"ERFE",350.530299498971,-0.787214155389763,0.239724981190914,-3.28382195079968,0.00102409599216277,0.0433385616776886,-1.3631255061636,"ERFE"
"NAT8L",1408.4683289489,-0.792652640677559,0.227822212671316,-3.4792596884358,0.000502801094620661,0.0245170745103328,-1.61053135306956,"NAT8L"
